time	I(D)	I(L1)	I(a)
1.475785714285738e-002	1.124231e+002	1.497561e+002	1.497711e+002
1.482500000000026e-002	1.160669e+002	1.490962e+002	1.491111e+002
1.489214285714314e-002	1.196178e+002	1.484530e+002	1.484680e+002
1.495928571428601e-002	1.230758e+002	1.478267e+002	1.478417e+002
1.502642857142889e-002	1.264409e+002	1.472172e+002	1.472322e+002
1.509357142857177e-002	1.297131e+002	1.466245e+002	1.466395e+002
1.516071428571465e-002	1.328924e+002	1.460487e+002	1.460637e+002
1.517071428571465e-002	9.991447e+001	1.459017e+002	1.459167e+002
1.518071428571465e-002	3.337375e+001	1.455682e+002	1.455832e+002
1.519071428571465e-002	4.500000e-002	1.450489e+002	1.450639e+002
1.523809523809533e-002	4.500000e-002	1.423225e+002	1.423375e+002
1.528309523809534e-002	4.500000e-002	1.397816e+002	1.397966e+002
1.529309523809534e-002	3.189669e+001	1.392855e+002	1.393004e+002
1.530309523809535e-002	9.572229e+001	1.389784e+002	1.389934e+002
1.531309523809535e-002	1.279402e+002	1.388596e+002	1.388746e+002
1.534309523809536e-002	1.293946e+002	1.386927e+002	1.387077e+002
1.537309523809537e-002	1.308322e+002	1.385277e+002	1.385427e+002
1.540309523809538e-002	1.322530e+002	1.383647e+002	1.383797e+002
1.543309523809539e-002	1.336568e+002	1.382036e+002	1.382186e+002
1.546309523809539e-002	1.350439e+002	1.380444e+002	1.380594e+002
1.549309523809540e-002	1.364140e+002	1.378872e+002	1.379022e+002
1.552309523809541e-002	1.377673e+002	1.377318e+002	1.377468e+002
1.554309523809542e-002	1.386608e+002	1.376293e+002	1.376443e+002
1.558880952380972e-002	1.406749e+002	1.373982e+002	1.374131e+002
1.563452380952402e-002	1.426541e+002	1.371710e+002	1.371860e+002
1.568023809523832e-002	1.445983e+002	1.369479e+002	1.369629e+002
1.572595238095262e-002	1.465076e+002	1.367288e+002	1.367438e+002
1.577166666666692e-002	1.483819e+002	1.365137e+002	1.365287e+002
1.581738095238122e-002	1.502213e+002	1.363026e+002	1.363176e+002
1.586309523809552e-002	1.520258e+002	1.360955e+002	1.361105e+002
1.587309523809552e-002	1.482901e+002	1.361130e+002	1.361280e+002
1.588309523809552e-002	1.404429e+002	1.363176e+002	1.363326e+002
1.589309523809553e-002	1.367535e+002	1.367085e+002	1.367235e+002
1.595309523809554e-002	1.394369e+002	1.393919e+002	1.394069e+002
1.596309523809555e-002	1.048097e+002	1.397081e+002	1.047779e+002
1.597309523809555e-002	3.500333e+001	1.396488e+002	3.496770e+001
1.598309523809555e-002	4.500000e-002	1.392156e+002	7.501393e-003
1.619047619047628e-002	4.500000e-002	1.281221e+002	7.501282e-003
1.642547619047635e-002	4.500000e-002	1.166169e+002	7.501167e-003
1.643547619047635e-002	2.909132e+001	1.162756e+002	2.905570e+001
1.644547619047636e-002	8.731739e+001	1.163100e+002	8.728551e+001
1.645547619047636e-002	1.188776e+002	1.166561e+002	1.166711e+002
1.646547619047636e-002	1.237218e+002	1.169412e+002	1.169562e+002
1.647463978821848e-002	1.262061e+002	1.170299e+002	1.170449e+002
1.656035407393279e-002	1.303645e+002	1.172939e+002	1.173089e+002
1.664606835964711e-002	1.343936e+002	1.175496e+002	1.175646e+002
1.673178264536142e-002	1.382934e+002	1.177972e+002	1.178122e+002
1.681749693107573e-002	1.420639e+002	1.180365e+002	1.180515e+002
1.690321121679004e-002	1.457052e+002	1.182677e+002	1.182827e+002
1.698892550250436e-002	1.492172e+002	1.184906e+002	1.185056e+002
1.707463978821867e-002	1.525999e+002	1.187053e+002	1.187203e+002
1.708463978821867e-002	1.146557e+002	1.186676e+002	1.186826e+002
1.709463978821867e-002	3.828093e+001	1.184429e+002	1.184579e+002
1.710463978821868e-002	4.500000e-002	1.180320e+002	1.180470e+002
1.714285714285723e-002	4.500000e-002	1.162391e+002	1.162541e+002
1.717785714285724e-002	4.500000e-002	1.146220e+002	1.146370e+002
1.718785714285724e-002	3.683076e+001	1.142263e+002	1.142413e+002
1.719785714285724e-002	1.105048e+002	1.140194e+002	1.140344e+002
1.720785714285725e-002	1.475976e+002	1.140004e+002	1.140154e+002
1.728500000000013e-002	1.506992e+002	1.143304e+002	1.143454e+002
1.736214285714301e-002	1.537132e+002	1.146511e+002	1.146661e+002
1.743928571428589e-002	1.566395e+002	1.149625e+002	1.149775e+002
1.751642857142877e-002	1.594783e+002	1.152646e+002	1.152796e+002
1.759357142857165e-002	1.622294e+002	1.155573e+002	1.155723e+002
1.767071428571453e-002	1.648929e+002	1.158408e+002	1.158558e+002
1.774785714285741e-002	1.674688e+002	1.161149e+002	1.161299e+002
1.775785714285742e-002	1.388140e+002	1.160251e+002	8.711679e+001
1.776785714285742e-002	8.128986e+001	1.155615e+002	2.904685e+001
